idx,prompt,gold,had_spans,decision,reason,peak,rel,null,span_terms,comp_seq,hallucinated_non_gold,multi_accept
160,trade 34.9473 MATIC for BTC on uniswap (polygon) with slippage 0.1%,swap_asset,True,PASS,pass,2.2203,1.0,2.2204,trade|trade 34|trade 34 9473,swap_asset|unstake_asset,False,True
161,pull out 29.7726 MATIC from maker — normal mode,withdraw_asset,True,PASS,pass,1.8928,0.9367,2.0208,pull out|pull|from,withdraw_asset|unstake_asset,False,True
162,"repay 2711.6001 ARB on maker (base) — today, safe mode",repay_asset,True,PASS,pass,2.2025,0.9974,2.2082,repay|repay 2711|repay 2711 6001,repay_asset,False,False
163,restake 9.365 ETH with balancer on base,stake_asset,True,PASS,pass,2.254,0.9724,2.3181,restake|restake 9|restake 9 365,stake_asset,False,False
164,top up lido with 42.3714 MATIC on arbitrum,deposit_asset,True,PASS,pass,2.2724,0.9894,2.2968,top up|top|top up lido,deposit_asset,False,False
165,claim staking rewards on curve solana,claim_rewards,True,PASS,pass,1.3798,0.7609,1.8134,claim|staking rewards|staking rewards on,claim_rewards|unstake_asset|stake_asset,False,True
166,delegate 34.0667 WETH to balancer (optimism),stake_asset,True,PASS,pass,1.8709,0.9467,1.9763,delegate|delegate 34|delegate 34 0667,stake_asset,False,False
167,pull out 1.860781 WBTC from curve,withdraw_asset,True,PASS,pass,2.056,0.9434,2.1794,pull out|pull|pull out 1,withdraw_asset|unstake_asset,False,True
168,remove 1.677774 WBTC from compound,withdraw_asset,True,ABSTAIN,below_threshold,0.7077,0.7896,0.8963,from|remove,,False,False
169,"market swap 16193 DAI->LINK using uniswap on solana with slippage 1% — minimize gas, high yield mode",swap_asset,True,PASS,pass,2.39,1.0,2.39,swap|market swap|swap 16193,swap_asset|claim_rewards|unstake_asset,False,True
170,undelegate 49.0211 MATIC on balancer (avalanche),unstake_asset,True,PASS,pass,1.9765,0.9407,2.1011,undelegate|undelegate 49|undelegate 49 0211,unstake_asset,False,False
171,unlock 1307.1878 OP at pendle (arbitrum) — today,unstake_asset,True,PASS,pass,1.66,0.9347,1.776,unlock|unlock 1307|unlock 1307 1878 op,unstake_asset,False,False
172,take a loan of 3193.3486 LINK via aave (arbitrum) using SOL as collateral,borrow_asset,True,PASS,pass,2.4516,0.9858,2.487,take a loan|take a loan of|loan,borrow_asset|repay_asset|deposit_asset|withdraw_asset,False,True
173,"top up yearn with 3363.8293 OP on ethereum — asap, use normal gas",deposit_asset,True,PASS,pass,2.5716,1.0,2.5716,top up|top|top up yearn,deposit_asset,False,False
174,stake 3277.616 LINK on lido (base) — use fast gas,stake_asset,True,PASS,pass,2.1973,0.9975,2.2029,stake|stake 3277|stake 3277 616,stake_asset|unstake_asset,False,True
175,withdraw 3483.9524 AAVE from lido on solana,withdraw_asset,True,PASS,pass,2.0368,0.9739,2.0914,withdraw|withdraw 3483|withdraw 3483 9524,withdraw_asset,False,False
176,harvest yield from curve on solana,claim_rewards,True,PASS,pass,1.6748,0.8689,1.9276,harvest|harvest yield|harvest yield from,claim_rewards,False,False
177,lock 2.388027 BTC in rocket pool on avalanche,stake_asset,True,PASS,pass,2.2263,0.9904,2.2478,lock|lock 2|lock 2 388027,stake_asset|unstake_asset|withdraw_asset|deposit_asset,False,True
178,unlock 0.630628 WBTC at balancer (solana) — ok with higher gas,unstake_asset,True,PASS,pass,2.4325,0.9995,2.4336,unlock|unlock 0|unlock 0 630628,unstake_asset|stake_asset,False,True
179,claim staking rewards on pendle ethereum — this minute,claim_rewards,True,PASS,pass,1.5899,0.8252,1.9267,claim|staking rewards|staking rewards on,claim_rewards|unstake_asset|stake_asset,False,True
180,draw 2003.1529 LINK from aave on optimism — ok with higher gas,borrow_asset,True,PASS,pass,2.4336,0.9999,2.4338,draw|draw 2003|draw 2003 1529,borrow_asset,False,False
181,unlock 3290.3395 ARB at curve (solana) — now,unstake_asset,True,PASS,pass,1.9502,0.9768,1.9966,unlock|unlock 3290|unlock 3290 3395,unstake_asset,False,False
182,pay back 0.0606 WETH to aave on avalanche,repay_asset,True,PASS,pass,2.2061,0.9881,2.2326,pay back|pay back 0|pay,repay_asset,False,False
183,unstake 2101.4644 AAVE from curve on solana — today,unstake_asset,True,PASS,pass,2.0488,0.9912,2.0671,unstake|unstake 2101|unstake 2101 4644,unstake_asset,False,False
184,"top up compound with 12.4491 WETH on solana — this minute, use fast gas",deposit_asset,True,PASS,pass,2.5104,1.0,2.5104,top up|top|top up compound,deposit_asset,False,False
185,top up uniswap with 1.844295 WBTC on solana,deposit_asset,True,PASS,pass,2.2589,0.9897,2.2824,top up|top|top up uniswap,deposit_asset|unstake_asset,False,True
186,top up curve with 48.2305 SOL on arbitrum,deposit_asset,True,PASS,pass,2.2432,0.9901,2.2657,top up|top|up,deposit_asset,False,False
187,put 11650 USDT into aave,deposit_asset,True,ABSTAIN,below_threshold,0.6823,0.7303,0.9343,into|put,,False,False
188,repay 4845.8086 AAVE on aave (polygon) — use normal gas,repay_asset,True,PASS,pass,2.2099,0.9975,2.2155,repay|repay 4845|repay 4845 8086,repay_asset,False,False
189,repay 1.045258 WBTC on maker (arbitrum),repay_asset,True,PASS,pass,1.9915,0.9493,2.098,repay|repay 1|repay 1 045258,repay_asset|borrow_asset,False,True
190,repay 3898.7463 ARB on aave (base) — use fast gas,repay_asset,True,PASS,pass,2.2271,0.9973,2.2331,repay|repay 3898|repay 3898 7463,repay_asset,False,False
191,"close debt: repay 36.141 AVAX at compound base — today, use fast gas",repay_asset,True,PASS,pass,2.4129,0.976,2.4723,repay|debt repay|debt,repay_asset|borrow_asset,False,True
192,harvest yield from compound on solana — use fast gas,claim_rewards,True,PASS,pass,2.3688,0.9883,2.3969,harvest|harvest yield|harvest yield from,claim_rewards,False,False
193,borrow 45.021 ETH from compound on arbitrum,borrow_asset,True,PASS,pass,1.9881,0.9755,2.0381,borrow|borrow 45|borrow 45 021,borrow_asset,False,False
194,convert 3330.1 OP into USDC via sushiswap on base,swap_asset,True,PASS,pass,1.1645,0.84,1.3863,convert|into|convert 3330 1 op,deposit_asset|swap_asset,False,True
195,collect incentives at stargate (ethereum),claim_rewards,True,PASS,pass,2.0646,0.9143,2.2582,collect incentives|collect incentives at|incentives,claim_rewards,False,False
196,open debt: 10.5308 ETH on maker solana,borrow_asset,True,PASS,pass,1.7451,0.8805,1.9819,open debt|open debt 10|open debt 10 5308,borrow_asset|repay_asset,False,True
197,open debt: 6583 DAI on compound avalanche,borrow_asset,True,PASS,pass,1.996,0.9562,2.0875,open debt|open debt 6583|debt,borrow_asset|repay_asset,False,True
198,"supply 1486.4032 OP to curve — immediately, high yield mode",deposit_asset,True,PASS,pass,1.6482,0.9523,1.7309,supply|supply 1486|high,deposit_asset|claim_rewards,False,True
199,convert 7370 USDT into AVAX via balancer on solana with slippage 1% — today,swap_asset,True,PASS,pass,1.5874,0.938,1.6923,convert|into|convert 7370,swap_asset,False,False
